"What are you looking for?","Wonach suchst du?"
"Sample basket","Stoffmuster Warenkorb"
"Login/Register","Einloggen/Anmelden"
"Popular search results","Beliebte Suchergebnisse"
"Suggestions","Vorschläge"
"Grid","Product"
"List","Stoff"
"Sign In","Einloggen"
"Sign out","Abmelden"
"Enter your email address","Bitte geben sie seine E-Mail-Adresse ein"
"Yes, I am already the proud owner of my own Smart Blinds","Ja, ich bin bereits stolze Besitzerin meiner eigenen Smartblinds."
"Yes, I sign up for the Smart Blinds newsletter and accept the privacy policy.","Ja, ich melde mich für den Smartblinds Newsletter an und akzeptiere die Datenschutzbestimmungen."
"Yes, I sign up for the Smart Blinds newsletter and accept the","Ja, ich melde mich für den Smartblinds Newsletter an und akzeptiere die Datenschutzbestimmungen."
"privacy policy.","Datenschutzbestimmungen"
"Add to Cart","In den Warenkorb"
"%1 Items","%1 Produkte"
"Blackout","Verdunkelung"
"Filter and sort","Filter"
"Do you have a discount code?","Haben Sie einen Rabattcode? "
"Change configuration","Konfiguration ändern"
"Order summary","Zusammenfassung der Bestellung"
"Back to shopping cart","zurück zum Warenkorb"
"Shopping cart","Warenkorb"
"My details","meine Daten"
"House no.","Hausnr."
"Personal data","persönliche Daten"
"Next step: Payment method","Nächster Schritt: Zahlungsmethode"
"Free sample","Gratis muster anfordern"
"from price","von"
"Calculate your price","konfigurieren"
"Configuring product","weitere Konfiguration"
"optional","optional"
"Your total price","Ihr Gesamtpreis"
"Your choices","Ihr Smartblind"
"System:","System"
"Add to Cart","In den Warenkorb"
"This product is too wide and high. The maximum height for your entered width is %1. The maximum width for your entered height is %2","Dieses Produkt ist zu breit und zu hoch. Die maximale Höhe für Ihre eingegebene Breite beträgt %1. Die maximale Breite für Ihre eingegebene Höhe beträgt %2"
"This product is too wide and cannot be ordered. The maximum height for your entered width is %1","Dieses Produkt ist zu breit und kann nicht bestellt werden. Die maximale Höhe für Ihre eingegebene Breite beträgt %1"
"The minimum dimensions of this product are %1 wide and %2 high","Die Mindestmaße für dieses Produkt sind %1 breit und %2 hoch"
"Claim samples","Muster bestellen"
"Your samples","Ihre kostenlosen Muster"
"Show product","Produkt ansehen"
"Delete","entfernen"
"Your information","Ihre Daten"
"Firstname","Vorname"
"Lastname","Nachname"
"Postcode","Postleitzahl"
"House","Hausnummer"
"Street","Straße"
"City","Stadt"
"Email","E-Mail Adresse"
"Claim now","Jetzt bewerben"
"Orders before 17:00 will be delivered by post tomorrow","Vor 17 Uhr bestellt, morgen per Post geliefert"
"You have no samples in your basket","Sie haben keine Muster in Ihrem Warenkorb"
"Basket","Warenkorb"
"translucent","lichtdurchlässig"
"obscuring","Verdunkelung"
"Complete application","den Antrag ausfüllen"
"Delivery address","Lieferadresse"
"Telephone","Rufnummer"
"Apartment","Zusatz"
"Middlename","Infix"
"Male","Herr"
"Female","Frau"
"Yes, subscribe to Smart Blinds newsletter and accept ","Ja, ich melde mich für den Smartblinds-Newsletter an und akzeptiere ihn"
"privacy policy","Datenschutzbestimmungen"
"Create Smartblinds account","Legen Sie ein Konto an, damit Sie beim nächsten Mal schneller bestellen können und Ihre Bestellhistorie einsehen können."
"By clicking send request I agree to the","Mit dem Klick auf "Bewerbung abschicken" erkläre ich mich mit den"
"terms and conditions","allgemeine Bedingungen"
"Send Request","Anfrage senden"
"Mr.","Herr"
"Mrs.","Frau"
"Assemble","Siehe"
"Create an account so you can order faster next time and view your order history.","Legen Sie ein Konto an, damit Sie beim nächsten Mal schneller bestellen können und Ihre Bestellhistorie einsehen können."
"Your samples claim required has been accepted. Order ID: %1","Ihre Bestellnummer lautet: %1. Sie erhalten von uns eine Auftragsbestätigung mit weiteren Details und Informationen."
"Confirm password","Passwort bestätigen"
"Phone number","Rufnummer"
"Obscuring","Verdunkelung"
"Translucent","transparent"
"Lightfiltering","lichtdurchlässig"
"price from %1","von 1%"
"from price %1","von 1%"
"%1 discount","1% Rabatt"
"I would like to be the first to receive special discounts and updates about Smartblinds (products).","Ich möchte als Erster spezielle Rabatte und Updates über Smartblinds (Produkte) erhalten."
"By continuing you agree to the ","Indem Sie fortfahren, erklären Sie sich mit den"
"width","Breite"
"height","Höhe"
"Width","Breite"
"Height","Höhe"
"You have add %1 in samples","Sie haben '%1' zu Ihren Farbmuster hinzugefügt"
"Password Strength","Passwortstärke"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Cart","Warenkorb aktualisieren"
"Password Strength","Passwortstärke"
"Please log in to make an order with this email","Melden Sie sich an, um eine Bestellung mit dieser E-Mail-Adresse aufzugeben."
"Street Address","Straße"
"Street Address %1","Straße 1%"
"First Name","Vorname"
"Last Name","Nachname"
"Middle Name","Infix"
"Middle Name (optional)","Infix (optional)"
"Telephone (optional)","Rufnummer (optional)"
"Price","Preis"
"Phone Number (optional)","Rufnummer (optional)"
"By continuing you agree to the","Indem Sie fortfahren, erklären Sie sich mit den"
"terms and conditions","allgemeine Bedingungen"
"Your product has a width/height ratio greater than 1:3. This is greater than our recommended ratio. Choose dimensions that fall within this ratio.","Ihr Produkt hat ein Verhältnis von Breite zu Höhe von mehr als 1:3. Dies ist mehr als das von uns empfohlene Verhältnis. Wählen Sie Abmessungen, die innerhalb dieses Verhältnisses liegen."
"Your product has a width/height ratio greater than 1:3. This is greater than our recommended ratio. Contact us for tailor-made advice.","Ihr Produkt hat ein Verhältnis von Breite zu Höhe von mehr als 1:3. Dies ist mehr als das von uns empfohlene Verhältnis. Bitte kontaktieren Sie uns für eine individuelle Beratung."
"Your product is too small and therefore cannot be delivered. The minimum width is %1 cm and the minimum height is %2 cm.","Ihr Produkt ist zu klein und kann daher nicht geliefert werden. Die Mindestbreite ist %1 cm und die Mindesthöhe ist %2 cm."
"Your product is too broad and therefore cannot be delivered. The maximum width for a product of %1 cm high is: %2 cm. Try a different fabric or choose different dimensions.","Ihr Produkt ist zu breit und kann daher nicht geliefert werden. Die maximale Breite für ein Produkt von %1 cm Höhe ist: %2 cm. Versuchen Sie einen anderen Stoff oder wählen Sie andere Abmessungen."
"Your product is too high and therefore cannot be delivered. The maximum height for a product of %1 cm wide is: %2 cm. Try a different fabric or choose different dimensions.","Ihr Produkt ist zu hoch und kann daher nicht geliefert werden. Die maximale Höhe für ein Produkt von %1 cm Breite beträgt: %2 cm. Versuchen Sie einen anderen Stoff oder wählen Sie andere Abmessungen."
"Your product is too broad and therefore cannot be delivered. The maximum width for a product of %1 cm high is: %2 cm. Try a different fabric or choose different dimensions.","Ihr Produkt ist zu breit und kann daher nicht geliefert werden. Die maximale Breite für ein Produkt von %1 cm Höhe ist: %2 cm. Versuchen Sie einen anderen Stoff oder wählen Sie andere Abmessungen."
"You have removed from samples","Sie haben aus Muster entfernt"
"You have add %1 in <a href='#' class='sample-basket-toggle'>samples</a>","Das Stoffmuster %1 wurde Ihrem <a href='#' class='sample-basket-toggle'>Warenkorb</a> hinzugefügt."
"Request free samples","Kostenlose Stoffmuster"
"Request free sample","kostenlose Muster"
"Claim free sample","kostenlose Muster bestellen"
"Request Sample","Muster Bestellen"
"Configure","Konfigurieren"
"Rollerblind","Rollos"
"Duo Rollerblind","Doppelrollos"
"All","Alle"
"Load More Stories","Mehr Stories laden"
"Free","Gratis"
"Provided Zip/Postal Code seems to be invalid.","Die eingegebene Postleitzahl scheint falsch zu sein."
" Example: ","zum Beispiel:"
"If you believe it is the right one you can ignore this notice.","Wenn die Postleitzahl Ihrer Meinung nach korrekt ist, können Sie diese Meldung ignorieren"
"Select","auswählen"
"Place order","Bestellung aufgeben"
"Help","Hilfe"
"Loading","Laden"
"Pre-order your Smartblinds now and have a chance to win a HomePod Mini gift!","Bestellen Sie Ihre Smartblinds Jetzt Vor Und Haben Sie Die Chance, Einen Homepod Mini Zu Gewinnen!"
"Be the first with Smartblinds smart window decoration at home and pre-order your smart roller blinds or duo roller blinds now in our shop!","Seien Sie Der Erste Mit Smartblinds Smarter Sonnenschutz Zu Hause Und Bestellen Sie Jetzt Ihr Smartes Rollo Oder Duo Rollo In Unserem Shop Vor!"
"To the shop","Zum Shop"
"Pre-order information","Informationen Zur Vorbestellung"
"About Smartblinds","Über Smartblinds"
"Innovation","Innovation"
"Support","Support"
"Frequently Asked Questions","Häufig gestellte Fragen"
"Payment options","Zahlungsmöglichkeiten"
"Shipping & Delivery","Versand & Lieferung"
"Returns","Retouren"
"Measuring and mounting","Messen Und Montieren"
"Measuring insurance","Versicherung Gegen Messfehler"
"Free samples","Kostenlose Muster"
"Guarantee","Garantie"
"Inspiration","Inspiration"
"We are Smartblinds","Wir Sind Smartblinds"
"How it works","Wie Es Funktioniert"
"Compatibility","Kompatibilität"
"Service","Service"
"Durability","Dauerhaftigkeit"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"from","von"
"Add free samples to your sample basket by clicking '+ Free Sample' or visit our dedicated","Fügen Sie Ihrem Warenkorb Kostenlose Proben Hinzu, Indem Sie Auf '+ Kostenlose Muster' Klicken, Oder Besuchen Sie Unser Spezielles"
"sample page","Muster Seite"
"Transparent Texture collection","Transparente Texture Kollektion"
"The transparent Texture collection consists of translucent roller blind fabrics with a linen-like appearance. The transparent fabric is made from recycled yarn and available in 5 different colours. The transparency of the fabric provides every home with pleasant light and minimal privacy. The Texture fabric collection is a good solution in the field of heat and/or light management.","Die Transparente Texture-Kollektion Besteht Aus Lichtdurchlässigen Rollostoffen Mit Leinenartigem Aussehen. Der Transparente Stoff Wird Aus Recyceltem Garn Hergestellt Und Ist In 5 Verschiedenen Farben Erhältlich. Die Transparenz Des Stoffes Sorgt In Jedem Haus Für Angenehmes Licht Und Minimalen Sichtschutz. Die Texture-Stoffkollektion Ist Eine Gute Lösung Im Bereich Des Wärme- Und/Oder Lichtmanagements."
"Part of a secure and connected smart home ecosystem","Teil Eines Sicheren Und Vernetzten Smart-Home-Ökosystems"
"The Smartblinds blinds contain a motor with Apple HomeKit technology. This wireless motor makes it possible for our smart window decorations to work optimally together with Apple's smart home platform: Homekit.","Die Smartblinds Rollos Enthalten Einen Motor Mit Apple Homekit Technologie. Dieser Kabellose Motor Macht Es Möglich, Dass Unsere Smart Sonnenschutz Optimal Mit Der Smart Home-Plattform Von Apple Zusammenarbeiten: Homekit."
"Customized texture collection","Maßgeschneiderte Texture Kollektion"
"You can order your Smartblinds roller blind with transparent Texture fabric completely custom. Enter the dimensions when putting together your roller blind and we will get to work for you. The moment we start delivering you will receive your custom-made smart roller blinds made of transparent Texture fabric as soon as possible.","Sie Können Ihr Smartblinds-Rollo Mit Transparentem Texture-Stoff Ganz Individuell Bestellen. Geben Sie Bei Der Zusammenstellung Ihres Rollos Die Maße An Und Wir Machen Uns Für Sie An Die Arbeit. Sobald Wir Mit Der Lieferung Beginnen, Erhalten Sie Ihr Maßgefertigtes Smartblinds-Rollo Aus Transparentem Texture-Stoff So Schnell Wie Möglich."
"Part of your smart home","Teil Ihres Intelligenten Zuhauses"
"With the combination of the transparent Texture fabric collection with our motors you can make your roller blinds part of your smart home. Simply connect your smart roller blinds to Apple's smart home platform HomeKit and let your interior come to life. You can easily charge the battery of your roller blind with a USB-C charging cable. With normal use charging is only required once or twice a year.","Durch Die Kombination Der Transparenten Texture-Stoffkollektion Mit Unseren Motoren Können Sie Ihre Rollos Zu Einem Teil Ihres Smart Homes Machen. Verbinden Sie Ihre Smart Rollos Einfach Mit Apples Smart Home-Plattform Homekit Und Lassen Sie Ihr Interieur Zum Leben Erwachen. Sie Können Den Akku Ihres Rollos Ganz Einfach Mit Einem Usb-C-Ladekabel Aufladen. Bei Normaler Nutzung Ist Ein Aufladen Nur Ein- Bis Zweimal Pro Jahr Erforderlich."
